checkpoint,step,direction,control,task,num_examples,num_prompt_clusters,mean,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high
step_015000,15000,original_to_clone,opposite-number,simple,392,89,-0.006273409541772336,-0.008220566109735138,-0.004323012518639469,-0.010152444666101658,-0.002571895827996297
step_015000,15000,original_to_clone,opposite-number-shuffled,simple,392,89,-0.009958454540797643,-0.013484255787061186,-0.006432370841503145,-0.013731788340912583,-0.006181551640806409
step_015000,15000,clone_to_original,opposite-number,simple,392,89,0.024050942489079068,0.018068069766978827,0.030184425079092678,0.018065962708186133,0.030478749576683416
step_015000,15000,clone_to_original,opposite-number-shuffled,simple,392,89,0.02280854084053818,0.01674713696144065,0.029006610658704017,0.017096626491602346,0.02898099336950601
step_030000,30000,original_to_original,opposite-number,simple,392,89,0.027468560909738347,0.02435113967073207,0.03065013468873744,0.020707945705273192,0.03437041508940912
step_030000,30000,original_to_original,opposite-number-shuffled,simple,392,89,0.027121421025723826,0.02181768064596215,0.032646215600626804,0.020791270999844208,0.0337215098461038
step_030000,30000,clone_to_clone,opposite-number,simple,392,89,0.21894704322425687,0.2065742999619367,0.231853122674689,0.19218715523242416,0.24614573208727777
step_030000,30000,clone_to_clone,opposite-number-shuffled,simple,392,89,0.21944222036673097,0.20797030801067545,0.23164744380177285,0.1990521473526297,0.23984643198983063
step_030000,30000,original_to_clone,opposite-number,simple,392,89,0.014717300327456728,0.012981434257663026,0.01656836949440898,0.011165201313026918,0.019017333409383295
step_030000,30000,original_to_clone,opposite-number-shuffled,simple,392,89,0.015215294701712472,0.011903879654650786,0.018582225666970622,0.010956335864157216,0.019875514219848435
step_030000,30000,clone_to_original,opposite-number,simple,392,89,0.04559765664898619,0.04060506838925031,0.05070992477086125,0.03724970650826311,0.05416973819482578
step_030000,30000,clone_to_original,opposite-number-shuffled,simple,392,89,0.043771255989463964,0.038155316272560434,0.04930798009950287,0.03666956786201029,0.051216485072643494
step_050000,50000,original_to_original,opposite-number,simple,392,89,0.1072724741332385,0.09797641701844274,0.11713330827805461,0.08143640102525466,0.1340474130498538
step_050000,50000,original_to_original,opposite-number-shuffled,simple,392,89,0.10805299330730828,0.09729042585406984,0.11952500179105874,0.0837099549883188,0.133476926602039
step_050000,50000,clone_to_clone,opposite-number,simple,392,89,0.07814010308713329,0.07280987850865539,0.08356638721057347,0.06782968272597102,0.08863463707378096
step_050000,50000,clone_to_clone,opposite-number-shuffled,simple,392,89,0.0763252997884945,0.07081571440307462,0.08193924238487166,0.0678148493821226,0.08487869825314316
step_050000,50000,original_to_clone,opposite-number,simple,392,89,0.02791263132679219,0.023392894195050612,0.032685150783889144,0.017589911878228642,0.03987037392391464
step_050000,50000,original_to_clone,opposite-number-shuffled,simple,392,89,0.02881248143254494,0.023351718667818575,0.03449411744974097,0.019842526847641956,0.038885325998365354
step_050000,50000,clone_to_original,opposite-number,simple,392,89,0.012320427262053197,0.009516695080971232,0.015050791873007405,0.00771377880391103,0.017033247255207083
step_050000,50000,clone_to_original,opposite-number-shuffled,simple,392,89,0.012799304358813227,0.008220320058112242,0.017326385147717532,0.007404965082912378,0.01793078296066482
step_065000,65000,original_to_original,opposite-number,simple,392,89,0.10744541883468628,0.09946169774143063,0.11585873657343339,0.08689423672439325,0.1285826261769241
step_065000,65000,original_to_original,opposite-number-shuffled,simple,392,89,0.10809251361963701,0.09938217669117207,0.11727399944650883,0.08922198410430573,0.12765737285281337
step_065000,65000,clone_to_clone,opposite-number,simple,392,89,0.09075861074486558,0.08493399002722332,0.09672462295512764,0.08045718244086045,0.10131763703111725
step_065000,65000,clone_to_clone,opposite-number-shuffled,simple,392,89,0.08948417464081122,0.08335146542106356,0.09581973999738692,0.08024586175731827,0.09883162851018011
step_065000,65000,original_to_clone,opposite-number,simple,392,89,0.01782667880155602,0.01407875011161882,0.021684247924357043,0.011220247729144091,0.02531303804402182
step_065000,65000,original_to_clone,opposite-number-shuffled,simple,392,89,0.020625198373989184,0.016120875702828778,0.025265310917581833,0.01459537781008083,0.02749858236036411
step_065000,65000,clone_to_original,opposite-number,simple,392,89,0.014226148323136933,0.010919797967891305,0.017492681315967012,0.009866389502649722,0.01868232765120227
step_065000,65000,clone_to_original,opposite-number-shuffled,simple,392,89,0.015752005333803137,0.011170931525376378,0.020323449251603107,0.010061948374421792,0.021465932639212277
best,77500,original_to_original,opposite-number,simple,392,89,0.11016924283942398,0.10266408686126981,0.11809073972458742,0.09086045404881461,0.1307770004339307
best,77500,original_to_original,opposite-number-shuffled,simple,392,89,0.11048713873843757,0.1017857697849371,0.11977764158224573,0.09227233751127599,0.13002557803750436
best,77500,clone_to_clone,opposite-number,simple,392,89,0.10081496773933878,0.09437463475125177,0.10721328857601906,0.08965304643300769,0.11238045018707979
best,77500,clone_to_clone,opposite-number-shuffled,simple,392,89,0.10118435961859566,0.094340616130099,0.1079561739855883,0.09330117330304893,0.10930010424175814
best,77500,original_to_clone,opposite-number,simple,392,89,0.02114735817422672,0.016468405966856045,0.025962337881934885,0.012303340066378423,0.031480023678628094
best,77500,original_to_clone,opposite-number-shuffled,simple,392,89,0.02295529112523916,0.017137122397520105,0.02872227999020596,0.014888436072344831,0.03231479072217588
best,77500,clone_to_original,opposite-number,simple,392,89,0.025007213865007673,0.0218083740497122,0.028163548939082086,0.019916055902160067,0.030307279078705795
best,77500,clone_to_original,opposite-number-shuffled,simple,392,89,0.027190828809932788,0.022698513616104515,0.03163253959952568,0.02191366687237367,0.03241908622466434
step_005000,5000,original_to_original,opposite-number,pp_attractor,296,291,0.002387747571275041,0.001369896370011407,0.003415114331889796,0.0013799175227319274,0.0034019769228178
step_005000,5000,original_to_original,opposite-number-shuffled,pp_attractor,296,291,-0.0011413822302947174,-0.003949341258487185,0.0015993645465051803,-0.003986801310060072,0.001514171527603924
step_005000,5000,clone_to_clone,opposite-number,pp_attractor,296,291,0.01741034275776631,0.015083699693550934,0.01982657800655107,0.015015085904094677,0.01989364002461396
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.019162020167788944,0.01377168245412208,0.024561595554287368,0.013893025166279561,0.02458099779738159
step_005000,5000,original_to_clone,opposite-number,pp_attractor,296,291,0.00024611402202296903,-0.0006363428927756644,0.0011321646941674717,-0.0006212219478727129,0.0011190032459962437
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,296,291,-0.003978482774786047,-0.006620714189233007,-0.001348242888579498,-0.0067349935328016594,-0.0013149843975539836
step_005000,5000,clone_to_original,opposite-number,pp_attractor,296,291,0.00186191700600289,0.0009204262817228163,0.0028637163139678336,0.0009070691858535354,0.0028424844548508924
step_005000,5000,clone_to_original,opposite-number-shuffled,pp_attractor,296,291,0.0023014593768764186,-0.0004722526347314989,0.005163751341201162,-0.0004958945480443292,0.005170097468790097
step_015000,15000,original_to_original,opposite-number,pp_attractor,296,291,0.0057782724096968364,0.003761932495478037,0.007752333661994418,0.0038064555637590505,0.007807008881126974
step_015000,15000,original_to_original,opposite-number-shuffled,pp_attractor,296,291,0.006620829169814651,0.0007116268615464906,0.01239664385447631,0.0008981584208905514,0.01229308162169345
step_015000,15000,clone_to_clone,opposite-number,pp_attractor,296,291,0.4052471454079087,0.379205582754032,0.4320531265558423,0.3794012827812061,0.4327936603672942
step_015000,15000,clone_to_clone,opposite-number-shuffled,pp_attractor,296,291,0.39907292739765066,0.3742554077425519,0.42433704306950437,0.37449222018398715,0.42463626901886353
step_015000,15000,original_to_clone,opposite-number,pp_attractor,296,291,-0.0043794786607896955,-0.006435695773846395,-0.002325958819002719,-0.006474212129189391,-0.002314554924658909
step_015000,15000,original_to_clone,opposite-number-shuffled,pp_attractor,296,291,-0.0042202263265042695,-0.010441123110217018,0.0018215857244826643,-0.010276292412578754,0.0019884213922040503
step_015000,15000,clone_to_original,opposite-number,pp_attractor,296,291,0.04324226121644716,0.03318208129824819,0.05332336405644545,0.033209399878330215,0.05308009639853357
step_015000,15000,clone_to_original,opposite-number-shuffled,pp_attractor,296,291,0.04382733879862605,0.03381870646734496,0.05395378989947808,0.033919643804879385,0.053757591642238
step_030000,30000,original_to_original,opposite-number,pp_attractor,296,291,0.15564406884683146,0.14579833443905857,0.16595441328512656,0.14576669212551877,0.16559242751344777
step_030000,30000,original_to_original,opposite-number-shuffled,pp_attractor,296,291,0.1590774300936106,0.14217201523684167,0.1758996605873108,0.14200236253997905,0.1762858691862074
