checkpoint,step,direction,layer,head,mean
step_005000,5000,clone_to_original,9,5,-0.0022650350321520556
step_005000,5000,clone_to_original,9,6,-0.002258330315082997
step_005000,5000,clone_to_original,9,7,0.0016497824643109296
step_005000,5000,clone_to_original,10,0,-0.0006767822815491272
step_005000,5000,clone_to_original,10,1,0.004093377439825384
step_005000,5000,clone_to_original,10,2,0.00565564793509406
step_005000,5000,clone_to_original,10,3,0.001798527734773653
step_005000,5000,clone_to_original,10,4,0.0004891162520056372
step_005000,5000,clone_to_original,10,5,0.000969768644453169
step_005000,5000,clone_to_original,10,6,0.005443319007083103
step_005000,5000,clone_to_original,10,7,-0.004463999658017545
step_005000,5000,clone_to_original,11,0,-0.004618995361499958
step_005000,5000,clone_to_original,11,1,-0.001497941511171358
step_005000,5000,clone_to_original,11,2,-0.0011495625650560534
step_005000,5000,clone_to_original,11,3,-0.0016022652119129627
step_005000,5000,clone_to_original,11,4,-1.7349247459892753e-05
step_005000,5000,clone_to_original,11,5,-0.0026498383229917235
step_005000,5000,clone_to_original,11,6,0.0027278822821539804
step_005000,5000,clone_to_original,11,7,0.0002803721943417111
step_015000,15000,original_to_clone,0,0,-0.00226484118281184
step_015000,15000,original_to_clone,0,1,-0.0031152335373131005
step_015000,15000,original_to_clone,0,2,-0.011493106683095297
step_015000,15000,original_to_clone,0,3,-5.63634408486856e-05
step_015000,15000,original_to_clone,0,4,-0.007555573910206287
step_015000,15000,original_to_clone,0,5,5.6898271715318834e-05
step_015000,15000,original_to_clone,0,6,0.0003822456609021436
step_015000,15000,original_to_clone,0,7,0.0010302308443430309
step_015000,15000,original_to_clone,1,0,0.00015572545764682528
step_015000,15000,original_to_clone,1,1,0.00018755917076591973
step_015000,15000,original_to_clone,1,2,-0.00020057070362675299
step_015000,15000,original_to_clone,1,3,-0.00047591892448631495
step_015000,15000,original_to_clone,1,4,0.0022250064858445177
step_015000,15000,original_to_clone,1,5,-0.0014742441005534954
step_015000,15000,original_to_clone,1,6,0.0004132379282702197
step_015000,15000,original_to_clone,1,7,-0.0003292168582881893
step_015000,15000,original_to_clone,2,0,-0.001110798066800779
step_015000,15000,original_to_clone,2,1,0.0003561522509600665
step_015000,15000,original_to_clone,2,2,-0.0008624861906240652
step_015000,15000,original_to_clone,2,3,0.0005967101535281619
step_015000,15000,original_to_clone,2,4,-0.0001310421539856507
step_015000,15000,original_to_clone,2,5,0.00026685643840480497
step_015000,15000,original_to_clone,2,6,0.0007476661656353925
step_015000,15000,original_to_clone,2,7,-0.00014590948551624746
step_015000,15000,original_to_clone,3,0,-0.000994289780522252
step_015000,15000,original_to_clone,3,1,-0.0011824036503697301
step_015000,15000,original_to_clone,3,2,0.000210513939728608
step_015000,15000,original_to_clone,3,3,-0.0030521047007930173
step_015000,15000,original_to_clone,3,4,-0.0004964406425888474
step_015000,15000,original_to_clone,3,5,-0.0018290823644345946
step_015000,15000,original_to_clone,3,6,0.003428054822457803
step_015000,15000,original_to_clone,3,7,-0.0016587967271203393
step_015000,15000,original_to_clone,4,0,-0.001026274384679021
step_015000,15000,original_to_clone,4,1,0.0005017384752496943
step_015000,15000,original_to_clone,4,2,-0.0001966002825144175
step_015000,15000,original_to_clone,4,3,0.0015205289866473224
step_015000,15000,original_to_clone,4,4,0.0005290341806841326
step_015000,15000,original_to_clone,4,5,-0.0006878338418565354
step_015000,15000,original_to_clone,4,6,0.0014036995870573027
step_015000,15000,original_to_clone,4,7,0.00031477051812249263
step_015000,15000,original_to_clone,5,0,-0.0007699169554151931
step_015000,15000,original_to_clone,5,1,0.0011938176713548266
step_015000,15000,original_to_clone,5,2,0.00019868429716642913
step_015000,15000,original_to_clone,5,3,0.0020726946023133424
step_015000,15000,original_to_clone,5,4,-0.0019039925154264983
step_015000,15000,original_to_clone,5,5,0.0018276792388778548
step_015000,15000,original_to_clone,5,6,-0.006452984638042278
step_015000,15000,original_to_clone,5,7,0.004389825167956653
step_015000,15000,original_to_clone,6,0,-0.0003522913735192101
step_015000,15000,original_to_clone,6,1,-0.004266913946684416
step_015000,15000,original_to_clone,6,2,-0.000670520034996239
step_015000,15000,original_to_clone,6,3,-0.0018660635561556429
step_015000,15000,original_to_clone,6,4,0.0015588751784316054
step_015000,15000,original_to_clone,6,5,0.0009125492594263575
step_015000,15000,original_to_clone,6,6,-0.00046053716728279185
step_015000,15000,original_to_clone,6,7,-0.006287755192937078
step_015000,15000,original_to_clone,7,0,0.002701184771082423
step_015000,15000,original_to_clone,7,1,-0.0033122854189829784
step_015000,15000,original_to_clone,7,2,0.009824485392183871
step_015000,15000,original_to_clone,7,3,-0.00035224895219545106
step_015000,15000,original_to_clone,7,4,0.007906850930806753
step_015000,15000,original_to_clone,7,5,-0.00420912267925503
step_015000,15000,original_to_clone,7,6,0.0019412314569627917
step_015000,15000,original_to_clone,7,7,0.0038210046183955564
step_015000,15000,original_to_clone,8,0,0.0070241909843307354
step_015000,15000,original_to_clone,8,1,0.0016450522182224034
step_015000,15000,original_to_clone,8,2,0.005655382130597089
step_015000,15000,original_to_clone,8,3,-0.0013562478460707105
step_015000,15000,original_to_clone,8,4,-0.0025040109952290854
step_015000,15000,original_to_clone,8,5,0.021812866936932813
step_015000,15000,original_to_clone,8,6,0.0016880728103019097
step_015000,15000,original_to_clone,8,7,0.001958714412139343
