checkpoint,step,direction,control,task,num_examples,mean_delta_ld
step_005000,5000,clone_to_original,opposite-number-shuffled,simple,392,0.004440696872010523
step_015000,15000,original_to_original,clean,simple,392,-0.003997199389399315
step_015000,15000,original_to_original,opposite-number,simple,392,3.6492639658402423e-09
step_015000,15000,original_to_original,same-number-shuffled,simple,392,-0.004994006789460474
step_015000,15000,original_to_original,opposite-number-shuffled,simple,392,0.0005672914641244071
step_015000,15000,clone_to_clone,clean,simple,392,0.24536803425574788
step_015000,15000,clone_to_clone,opposite-number,simple,392,-2.6031416289660395e-07
step_015000,15000,clone_to_clone,same-number-shuffled,simple,392,0.2417252258378632
step_015000,15000,clone_to_clone,opposite-number-shuffled,simple,392,0.0002668548603447116
step_015000,15000,original_to_clone,clean,simple,392,0.11612851644048885
step_015000,15000,original_to_clone,opposite-number,simple,392,0.12240192598226118
step_015000,15000,original_to_clone,same-number-shuffled,simple,392,0.11840048614813357
step_015000,15000,original_to_clone,opposite-number-shuffled,simple,392,0.1260869709812865
step_015000,15000,clone_to_original,clean,simple,392,0.03652767259247449
step_015000,15000,clone_to_original,opposite-number,simple,392,0.012476730103395423
step_015000,15000,clone_to_original,same-number-shuffled,simple,392,0.03727892466953823
step_015000,15000,clone_to_original,opposite-number-shuffled,simple,392,0.013719131751936309
step_030000,30000,original_to_original,clean,simple,392,0.02746833222252982
step_030000,30000,original_to_original,opposite-number,simple,392,-2.286872085259885e-07
step_030000,30000,original_to_original,same-number-shuffled,simple,392,0.026767806131012584
step_030000,30000,original_to_original,opposite-number-shuffled,simple,392,0.00034691119680599293
step_030000,30000,clone_to_clone,clean,simple,392,0.21894718676197286
step_030000,30000,clone_to_clone,opposite-number,simple,392,1.435377159897162e-07
step_030000,30000,clone_to_clone,same-number-shuffled,simple,392,0.21711979350265193
step_030000,30000,clone_to_clone,opposite-number-shuffled,simple,392,-0.0004950336047581264
step_030000,30000,original_to_clone,clean,simple,392,0.11453819274902344
step_030000,30000,original_to_clone,opposite-number,simple,392,0.0998208924215667
step_030000,30000,original_to_clone,same-number-shuffled,simple,392,0.11583914197221094
step_030000,30000,original_to_clone,opposite-number-shuffled,simple,392,0.09932289804731097
step_030000,30000,clone_to_original,clean,simple,392,0.024040282989034847
step_030000,30000,clone_to_original,opposite-number,simple,392,-0.021557373659951345
step_030000,30000,clone_to_original,same-number-shuffled,simple,392,0.02436782997481677
step_030000,30000,clone_to_original,opposite-number-shuffled,simple,392,-0.019730973000429114
step_050000,50000,original_to_original,clean,simple,392,0.10727257144694426
step_050000,50000,original_to_original,opposite-number,simple,392,9.73137057557398e-08
step_050000,50000,original_to_original,same-number-shuffled,simple,392,0.10618181617892518
step_050000,50000,original_to_original,opposite-number-shuffled,simple,392,-0.0007804218603640186
step_050000,50000,clone_to_clone,clean,simple,392,0.07814050328974821
step_050000,50000,clone_to_clone,opposite-number,simple,392,4.002026149204799e-07
step_050000,50000,clone_to_clone,same-number-shuffled,simple,392,0.07843305140125509
step_050000,50000,clone_to_clone,opposite-number-shuffled,simple,392,0.001815203501253712
step_050000,50000,original_to_clone,clean,simple,392,0.05723168168749128
step_050000,50000,original_to_clone,opposite-number,simple,392,0.029319050360699088
step_050000,50000,original_to_clone,same-number-shuffled,simple,392,0.058429098859125256
step_050000,50000,original_to_clone,opposite-number-shuffled,simple,392,0.02841920025494634
step_050000,50000,clone_to_original,clean,simple,392,0.08800156870666816
step_050000,50000,clone_to_original,opposite-number,simple,392,0.07568114144461495
