checkpoint,step,direction,control,reference_step,task,num_examples,num_prompt_clusters,mean,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high
step_030000,30000,original_to_clone,opposite-number,5000,pooled_distractor,888,874,0.029861687271444646,0.027565936925443443,0.03216526194869935,0.0275274753192256,0.03217415056877885
step_030000,30000,original_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.031512083234013735,0.027605927977207546,0.03559804902420388,0.027360546426283616,0.035679726247046496
step_030000,30000,clone_to_original,opposite-number,5000,pooled_distractor,888,874,0.1531055827398558,0.14592676264745694,0.16040875368021631,0.14580301510357233,0.1603533476769942
step_030000,30000,clone_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.15255648058813973,0.14393787678029085,0.1611956141150749,0.14400006954951408,0.16137557465630556
step_050000,50000,original_to_original,opposite-number,5000,pooled_distractor,888,874,0.5455544284872107,0.5250085768264693,0.5662502771025305,0.5248976739019322,0.567487321669482
step_050000,50000,original_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.5453106712650608,0.5246189088166296,0.5664431655997629,0.5246005565976819,0.5665373750262771
step_050000,50000,clone_to_clone,opposite-number,5000,pooled_distractor,888,874,0.4066709180672963,0.3891382328561834,0.424765555620999,0.3892021982403854,0.42471529684479675
step_050000,50000,clone_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.391923136270798,0.37683573320910735,0.40765731728694454,0.3765471240189127,0.4076161550462783
step_050000,50000,original_to_clone,opposite-number,5000,pooled_distractor,888,874,0.07556635490408889,0.0686717519150661,0.08235077004174929,0.06883335210202268,0.0824513733710127
step_050000,50000,original_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.07975058029363821,0.0712775802021628,0.08805978450554985,0.0713263065293163,0.08850135541924373
step_050000,50000,clone_to_original,opposite-number,5000,pooled_distractor,888,874,0.16943102538048685,0.16032689007015916,0.178521194074068,0.1603727993322692,0.1788521008289554
step_050000,50000,clone_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.16979881342466888,0.1598855288850295,0.18005917170294766,0.15974443721647538,0.18024874854483744
step_065000,65000,original_to_original,opposite-number,5000,pooled_distractor,888,874,0.7010439607474181,0.6728736921742156,0.7299043450672347,0.6726694549292103,0.7303456786041397
step_065000,65000,original_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.6929332801887581,0.6668517979952666,0.7195189494404707,0.6665124848884059,0.7195476159845035
step_065000,65000,clone_to_clone,opposite-number,5000,pooled_distractor,888,874,0.43619128471022256,0.4183917092914517,0.45493992767758196,0.4179165016465808,0.4546914387946878
step_065000,65000,clone_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.4269234390409143,0.41073759057903075,0.4442392781443961,0.4102629756281865,0.4440759796509056
step_065000,65000,original_to_clone,opposite-number,5000,pooled_distractor,888,874,0.06117685233150517,0.05383767361442248,0.06858650837261397,0.05368853237907843,0.06866361585436512
step_065000,65000,original_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.06239084402720133,0.053565472156346376,0.07115984211365382,0.053383629457810756,0.07158043852010328
step_065000,65000,clone_to_original,opposite-number,5000,pooled_distractor,888,874,0.2181299216038472,0.20815803828808638,0.22824951567359875,0.2080429062388681,0.22858684250524033
step_065000,65000,clone_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.2145478564339715,0.2036556560042742,0.2257429174743257,0.20348104120313046,0.22564970239876972
best,77500,original_to_original,opposite-number,5000,pooled_distractor,888,874,0.6666448476078274,0.6408152369228569,0.6929561245011853,0.6408597226978648,0.6936251622195037
best,77500,original_to_original,opposite-number-shuffled,5000,pooled_distractor,888,874,0.6622969030259965,0.6376233013900551,0.6874669654412312,0.6373325802392114,0.6876802209694377
best,77500,clone_to_clone,opposite-number,5000,pooled_distractor,888,874,0.4739146981690381,0.45419262379810615,0.49444072393549454,0.4538445185352901,0.4943916337279417
best,77500,clone_to_clone,opposite-number-shuffled,5000,pooled_distractor,888,874,0.4647429357240866,0.44665756318885996,0.4834826897863332,0.44654105119023274,0.483345648608636
best,77500,original_to_clone,opposite-number,5000,pooled_distractor,888,874,0.038637908997836416,0.03196350336074829,0.045421615350353814,0.03187053037250028,0.04543428938163531
