checkpoint,step,direction,control,task,site,selection,num_examples,mean
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,L9H0,dev_ranked,296,-0.012244374365419955
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,L11H7,dev_ranked,296,-0.0004816264719576449
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,L8H0,dev_ranked,296,0.0006231343423998034
step_005000,5000,clone_to_clone,opposite-number-shuffled,pp_attractor,L11H0,dev_ranked,296,-8.101559974051811e-05
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,L8H3,pre_registered,304,0.014832654281666404
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,L10H2,dev_ranked,304,0.004875220750507556
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,L9H0,dev_ranked,304,-0.010636146131314729
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,L11H7,dev_ranked,304,-0.00048132240772247314
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,L8H0,dev_ranked,304,-0.0012225038126895303
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,L11H0,dev_ranked,304,0.00015024213414443168
step_005000,5000,clone_to_clone,opposite-number-shuffled,subject_relative,L8H3,pre_registered,288,0.026741342412100896
step_005000,5000,clone_to_clone,opposite-number-shuffled,subject_relative,L10H2,dev_ranked,288,0.004927083849906921
step_005000,5000,clone_to_clone,opposite-number-shuffled,subject_relative,L9H0,dev_ranked,288,-0.0079458173778322
step_005000,5000,clone_to_clone,opposite-number-shuffled,subject_relative,L11H7,dev_ranked,288,-0.00026062627633412677
step_005000,5000,clone_to_clone,opposite-number-shuffled,subject_relative,L8H0,dev_ranked,288,-0.00023042824533250596
step_005000,5000,clone_to_clone,opposite-number-shuffled,subject_relative,L11H0,dev_ranked,288,-0.00034576488865746395
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,L8H3,pre_registered,888,-0.000719011098414928
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,L10H2,dev_ranked,888,-0.0047798524568746755
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,L9H0,dev_ranked,888,-0.0056978235910604665
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,L11H7,dev_ranked,888,0.001582411763904331
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,L8H0,dev_ranked,888,0.003760612225747323
step_005000,5000,original_to_clone,opposite-number,pooled_distractor,L11H0,dev_ranked,888,0.004757635228268735
step_005000,5000,original_to_clone,opposite-number,simple,L8H3,pre_registered,392,-0.003605531186473613
step_005000,5000,original_to_clone,opposite-number,simple,L10H2,dev_ranked,392,-0.012273929557021784
step_005000,5000,original_to_clone,opposite-number,simple,L9H0,dev_ranked,392,-0.0028483040478764748
step_005000,5000,original_to_clone,opposite-number,simple,L11H7,dev_ranked,392,0.006919763526137994
step_005000,5000,original_to_clone,opposite-number,simple,L8H0,dev_ranked,392,0.0012613315971530213
step_005000,5000,original_to_clone,opposite-number,simple,L11H0,dev_ranked,392,-0.0007013289295897192
step_005000,5000,original_to_clone,opposite-number,pp_attractor,L8H3,pre_registered,296,0.00024611402202296903
step_005000,5000,original_to_clone,opposite-number,pp_attractor,L10H2,dev_ranked,296,-0.009578168392181396
step_005000,5000,original_to_clone,opposite-number,pp_attractor,L9H0,dev_ranked,296,-0.005800841627894221
step_005000,5000,original_to_clone,opposite-number,pp_attractor,L11H7,dev_ranked,296,0.0024913984376030997
step_005000,5000,original_to_clone,opposite-number,pp_attractor,L8H0,dev_ranked,296,0.004214681483603813
step_005000,5000,original_to_clone,opposite-number,pp_attractor,L11H0,dev_ranked,296,0.0012479617788984968
step_005000,5000,original_to_clone,opposite-number,object_relative,L8H3,pre_registered,304,-0.0010608003327721043
step_005000,5000,original_to_clone,opposite-number,object_relative,L10H2,dev_ranked,304,-0.0011121073835774471
step_005000,5000,original_to_clone,opposite-number,object_relative,L9H0,dev_ranked,304,-0.00425029506808833
step_005000,5000,original_to_clone,opposite-number,object_relative,L11H7,dev_ranked,304,0.0012221908883044595
step_005000,5000,original_to_clone,opposite-number,object_relative,L8H0,dev_ranked,304,0.002865141943881386
step_005000,5000,original_to_clone,opposite-number,object_relative,L11H0,dev_ranked,304,0.005279181819213064
step_005000,5000,original_to_clone,opposite-number,subject_relative,L8H3,pre_registered,288,-0.0013501677248213026
step_005000,5000,original_to_clone,opposite-number,subject_relative,L10H2,dev_ranked,288,-0.0037197586562898424
step_005000,5000,original_to_clone,opposite-number,subject_relative,L9H0,dev_ranked,288,-0.007119890716340806
step_005000,5000,original_to_clone,opposite-number,subject_relative,L11H7,dev_ranked,288,0.0010284086068471272
step_005000,5000,original_to_clone,opposite-number,subject_relative,L8H0,dev_ranked,288,0.004239148563808865
step_005000,5000,original_to_clone,opposite-number,subject_relative,L11H0,dev_ranked,288,0.0078142782052358
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,L8H3,pre_registered,888,-0.0021117259790231517
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,L10H2,dev_ranked,888,-0.005019774039586385
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,L9H0,dev_ranked,888,-0.005601012223475688
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,L11H7,dev_ranked,888,0.001418789227803548
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,L8H0,dev_ranked,888,0.0034368346940289746
step_005000,5000,original_to_clone,opposite-number-shuffled,pooled_distractor,L11H0,dev_ranked,888,0.004849525990786853
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,L8H3,pre_registered,392,-0.0032234325700876663
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,L10H2,dev_ranked,392,-0.011756033313517667
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,L9H0,dev_ranked,392,-0.004752592164642957
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,L11H7,dev_ranked,392,0.0067593199866158625
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,L8H0,dev_ranked,392,0.0013279185003163864
step_005000,5000,original_to_clone,opposite-number-shuffled,simple,L11H0,dev_ranked,392,-0.00018676081482244997
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,L8H3,pre_registered,296,-0.003978482774786047
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,L10H2,dev_ranked,296,-0.010934773329141978
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,L9H0,dev_ranked,296,-0.006128739666294407
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,L11H7,dev_ranked,296,0.002669788695670463
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,L8H0,dev_ranked,296,0.00358779527045585
step_005000,5000,original_to_clone,opposite-number-shuffled,pp_attractor,L11H0,dev_ranked,296,0.00228359892561629
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,L8H3,pre_registered,304,-0.0009801340730566728
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,L10H2,dev_ranked,304,0.0009298269685946013
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,L9H0,dev_ranked,304,-0.002733877614924782
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,L11H7,dev_ranked,304,0.0009425517759825054
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,L8H0,dev_ranked,304,0.0026799793306149936
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,L11H0,dev_ranked,304,0.004887658514474568
step_005000,5000,original_to_clone,opposite-number-shuffled,subject_relative,L8H3,pre_registered,288,-0.0013875729507870143
step_005000,5000,original_to_clone,opposite-number-shuffled,subject_relative,L10H2,dev_ranked,288,-0.005220603611734178
step_005000,5000,original_to_clone,opposite-number-shuffled,subject_relative,L9H0,dev_ranked,288,-0.008085045549604628
step_005000,5000,original_to_clone,opposite-number-shuffled,subject_relative,L11H7,dev_ranked,288,0.000635734862751431
